,max_strip,med_strip,x_pix,y_integ
152,454793651581.6178,453445769518.9354,152,14462654163074.945
153,521503932448.5862,520131564568.56995,153,17087874549629.465
154,589936763834.2517,588580601648.0317,154,19869874847362.387
155,659793638057.1655,658475210819.0671,155,22778292306508.258
156,731363693923.3954,730074237201.3268,156,25792122981120.72
157,805315133662.8601,804010680240.4797,157,28921550157041.152
158,882399637046.5746,881005540957.4226,158,32166739121294.062
159,963142738107.9341,961565575043.6774,159,35503262193092.88
160,1047598401997.0055,1045744276562.8107,160,38930718775531.3
161,1135232836760.1282,1133027741620.249,161,42448720415269.69
162,1224973235589.6006,1222380448772.4976,162,46033873673082.28
163,1315417846574.8384,1312447239587.8997,163,49658640843816.97
164,1405163251763.5374,1401870328566.9624,164,53294467840820.75
165,1493172409589.1252,1489644007855.8525,165,56906898680143.84
166,1579090819264.7148,1575420467375.9207,166,60487930089566.36
167,1663422723884.5989,1659679801147.4229,167,64005666206653.97
168,1747504700379.2722,1743703799578.5198,168,67446728691874.58
169,1833255701235.7527,1829332981169.8699,169,70815782123405.4
170,1922732160956.0942,1918536287072.515,170,74107119724333.89
171,2017563570640.3328,2012863238100.9082,171,77309712641741.64
172,2118377494068.7256,2112887571735.0261,172,80409646355446.7
173,2224335315659.1187,2217758322048.4478,173,83379980814635.7
174,2332887311878.664,2324963873240.4844,174,86186695450239.19
175,2439819389152.7773,2430378728628.227,175,88759997591155.7
176,2539610576024.9033,2528612972208.219,176,91026723485769.03
177,2626060460951.3916,2613621429006.5176,177,92904718983580.44
178,2693091311799.0747,2679483346459.4004,178,94314508592408.53
179,2735591879936.5967,2721221934204.257,179,95189827141910.67
180,2750156968884.9478,2735522502207.913,180,95486730579069.11
181,2735591879936.5967,2721221934204.2573,181,95189827141910.66
182,2693091311799.0747,2679483346459.4004,182,94314508592408.53
183,2626060460951.3916,2613621429006.5176,183,92904718983580.44
184,2539610576024.9033,2528612972208.2197,184,91026723485769.03
185,2439819389152.7773,2430378728628.227,185,88759997591155.7
186,2332887311878.664,2324963873240.4844,186,86186695450239.19
187,2224335315659.1187,2217758322048.4478,187,83379980814635.72
188,2118377494068.7258,2112887571735.0261,188,80409646355446.69
189,2017563570640.3328,2012863238100.908,189,77309712641741.64
190,1922732160956.0942,1918536287072.515,190,74107119724333.89
191,1833255701235.7527,1829332981169.8696,191,70815782123405.39
192,1747504700379.2725,1743703799578.5198,192,67446728691874.586
193,1663422723884.5989,1659679801147.4233,193,64005666206653.95
194,1579090819264.7148,1575420467375.9207,194,60487930089566.37
195,1493172409589.125,1489644007855.8533,195,56906898680143.836
196,1405163251763.5374,1401870328566.9622,196,53294467840820.75
197,1315417846574.839,1312447239587.9,197,49658640843816.97
198,1224973235589.6006,1222380448772.4976,198,46033873673082.266
199,1135232836760.1282,1133027741620.2488,199,42448720415269.69
200,1047598401997.0056,1045744276562.8108,200,38930718775531.3
201,963142738107.9341,961565575043.6774,201,35503262193092.88
202,882399637046.5743,881005540957.4224,202,32166739121294.062
203,805315133662.8601,804010680240.4795,203,28921550157041.15
204,731363693923.3953,730074237201.3267,204,25792122981120.72
205,659793638057.1655,658475210819.0673,205,22778292306508.258
206,589936763834.2517,588580601648.0316,206,19869874847362.383
207,521503932448.5862,520131564568.5699,207,17087874549629.465
208,454793651581.6178,453445769518.9354,208,14462654163074.94
209,390762554975.1877,389484701883.9018,209,12038437395243.555
210,330939600271.39636,329768516450.8498,210,9867832229046.154
211,277201961825.4203,276155641243.20685,211,8003004803107.853
212,231461697551.29846,230536557461.7526,212,6489632069089.223
213,195331448751.68134,194504959015.2725,213,5392023041963.073
