UTDate,UTTime,ObjectName,IntegrationTimesec),Centralwavelength(micron),CalibratedNull,CalibratedNullError,CalibratedNullStatisticalError,CalibratedNullSystematicError,RawNull,RawNullError,SystemNull,SystemNullError,RejectedFrames(%),RA,DEC,ObjectAltitudedeg),Houranglefromobservation(hr),Seeing(arcsec),PWV,FPCRMSPiston,QualityFlag,ProjectID,Filename
2018-05-25,10:16:05.45,61_cyg_a,0.046,11.1100,-0.000251,0.003454,0.003388,0.000671,0.010876,0.003380,0.011128,0.000707,0.87,21:06:53.952,38:44:57.981,65.1427000000,-1.9607000000,1.0620,2.960,0.0054049100,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,10:22:27.25,61_cyg_a,0.046,11.1100,0.003156,0.002395,0.002299,0.000671,0.014283,0.002288,0.011128,0.000707,50.68,21:06:53.950,38:44:57.986,66.3795000000,-1.8678400000,0.8464,2.660,0.0053049800,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,10:22:27.25,61_cyg_a,0.046,11.1100,-0.001067,0.001737,0.001602,0.000671,0.010061,0.001586,0.011128,0.000707,50.28,21:06:53.950,38:44:57.986,66.3795000000,-1.8451500000,0.8464,2.660,0.0056786800,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,10:25:17.66,61_cyg_a,0.046,11.1100,0.000294,0.006237,0.006201,0.000671,0.011421,0.006197,0.011128,0.000707,30.48,21:06:53.950,38:44:57.981,66.9294000000,-1.8113700000,0.8091,2.660,0.0063521600,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,10:28:46.49,61_cyg_a,0.046,11.1100,-0.001963,0.002413,0.002318,0.000671,0.009165,0.002307,0.011128,0.000707,55.89,21:06:53.950,38:44:57.979,67.6046000000,-1.7559200000,0.8785,0.720,0.0049318900,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,10:28:46.49,61_cyg_a,0.046,11.1100,-0.001467,0.001964,0.001845,0.000671,0.009661,0.001832,0.011128,0.000707,48.42,21:06:53.950,38:44:57.979,67.6046000000,-1.7326900000,0.8785,0.720,0.0059328500,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,10:31:59.99,61_cyg_a,0.046,11.1100,-0.002585,0.002817,0.002736,0.000671,0.008542,0.002727,0.011128,0.000707,51.17,21:06:53.953,38:44:57.968,68.2274000000,-1.7036500000,0.8842,0.720,0.0048983500,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,10:31:59.99,61_cyg_a,0.046,11.1100,-0.003949,0.003301,0.003232,0.000671,0.007179,0.003224,0.011128,0.000707,51.21,21:06:53.953,38:44:57.968,68.2274000000,-1.6845900000,0.8842,0.720,0.0060216300,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,10:34:57.34,61_cyg_a,0.046,11.1100,-0.002578,0.002009,0.001894,0.000671,0.008550,0.001881,0.011128,0.000707,50.67,21:06:53.952,38:44:57.970,68.7981000000,-1.6490700000,0.9040,2.540,0.0056638700,2,4,UT2018-05-25_calib_OB.fits
2018-05-25,10:38:21.06,61_cyg_a,0.046,11.1100,-0.002946,0.001778,0.001647,0.000671,0.008181,0.001632,0.011128,0.000707,55.25,21:06:53.951,38:44:57.999,69.4512000000,-1.6019000000,0.8986,2.420,0.0051427100,2,4,UT2018-05-25_calib_OB.fits
2018-05-23,05:19:09.43,tet_boo,0.046,11.1100,0.008813,0.001327,0.000888,0.000987,0.020292,0.000828,0.011479,0.001037,6.32,14:25:11.797,51:51:02.677,70.4775000000,-0.3624300000,1.1074,6.500,0.0046763600,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,05:26:08.74,tet_boo,0.046,11.1100,0.006376,0.002088,0.001840,0.000987,0.017855,0.001812,0.011479,0.001037,3.44,14:25:11.796,51:51:02.671,70.7134000000,-0.2524700000,1.0073,5.680,0.0045372400,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,05:28:28.86,tet_boo,0.046,11.1100,0.004715,0.003487,0.003344,0.000987,0.016194,0.003329,0.011479,0.001037,1.52,14:25:11.797,51:51:02.670,70.7731000000,-0.1891660000,1.0802,6.080,0.0046035300,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,05:32:35.01,tet_boo,0.046,11.1100,0.005412,0.002714,0.002528,0.000987,0.016891,0.002508,0.011479,0.001037,8.99,14:25:11.796,51:51:02.681,70.8572000000,-0.1363340000,1.0438,6.080,0.0044562800,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,05:35:17.80,tet_boo,0.046,11.1100,0.006099,0.001170,0.000629,0.000987,0.017579,0.000541,0.011479,0.001037,11.82,14:25:11.795,51:51:02.661,70.8959000000,-0.0675609000,0.9968,5.700,0.0048233000,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,07:22:24.56,72_her,0.046,11.1100,0.009559,0.004699,0.004426,0.001579,0.022396,0.004405,0.012837,0.001636,40.60,17:20:39.565,32:28:03.691,74.2010000000,-1.2319000000,0.8648,5.220,0.0061238100,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,07:24:28.28,72_her,0.046,11.1100,0.014293,0.002068,0.001335,0.001579,0.027130,0.001264,0.012837,0.001636,20.83,17:20:39.565,32:28:03.688,74.6343000000,-1.1715700000,0.9031,5.520,0.0054102000,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,07:28:19.28,72_her,0.046,11.1100,0.012267,0.012374,0.012272,0.001579,0.025104,0.012265,0.012837,0.001636,67.95,17:20:39.566,32:28:03.681,75.4451000000,-1.1217700000,0.9881,4.900,0.0051527600,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,07:31:34.32,72_her,0.046,11.1100,-0.002218,0.005982,0.005770,0.001579,0.010619,0.005754,0.012837,0.001636,63.77,17:20:39.566,32:28:03.690,76.1285000000,-1.0573100000,1.0093,4.300,0.0054922700,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,07:41:04.79,72_her,0.046,11.1100,0.009391,0.002627,0.002099,0.001579,0.022227,0.002055,0.012837,0.001636,26.03,17:20:39.567,32:28:03.680,78.1313000000,-0.9191300000,0.8756,6.440,0.0049522300,2,4,UT2018-05-23_calib_OB.fits
